ID,Project,Name,Description,State,State Group,Priority,Assignee,Labels,Cycle Name,Module Name,Estimate Point,Start Date,Target Date,Created At,URL,Parent
EV27-1,EV27,[ELEC] EV system block diagram v2,See requirements doc.,Done,completed,urgent,Aidan,design;rules,Cycle 1 - Design,Electrical,XXL,,2026-09-05,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-1,
EV27-2,EV27,[ELEC] Shutdown circuit topology (hardwired series loop),See requirements doc. Blocked by EV27-1.,Done,completed,urgent,Aidan,rules;safety,Cycle 1 - Design,Electrical,XL,,2026-09-12,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-2,EV27-101
EV27-3,EV27,[ELEC] Inertia switch requirements + spec doc,See requirements doc. Blocked by EV27-2.,In Progress,started,high,Aidan,design;doc,Cycle 2 - Design,Electrical,M,,2026-09-19,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-3,EV27-101
EV27-4,EV27,[ELEC] BSPD circuit design and validation plan,See requirements doc. Blocked by EV27-2.,In Progress,started,high,Megan,design;rules,Cycle 2 - Design,Electrical,L,,2026-09-26,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-4,EV27-101
EV27-5,EV27,[ELEC] APPS / BSE plausibility implementation,See requirements doc. Blocked by EV27-2.,Ready,unstarted,high,Aidan,design,Cycle 3 - Design,Electrical,L,,2026-10-03,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-5,EV27-101
EV27-6,EV27,[ELEC] GLV harness routing and connector schedule,See requirements doc. Blocked by EV27-1.,Backlog,backlog,medium,,design,Cycle 3 - Design,Electrical,L,,2026-10-10,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-6,
EV27-7,EV27,[ELEC] Precharge / discharge circuit sizing,See requirements doc. Blocked by EV27-2.,Review,started,urgent,Aidan,design;hv,Cycle 2 - Design,Electrical,M,,2026-09-22,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-7,EV27-101
EV27-8,EV27,[ELEC] BMS vendor selection and evaluation,See requirements doc. Blocked by EV27-1.,Review,started,urgent,Aidan,procurement,Cycle 2 - Procurement,Electrical,L,,2026-09-20,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-8,
EV27-9,EV27,[ELEC] Flex PCB cell sensing board rev A,"See requirements doc. Blocked by EV27-8, EV27-14.",Blocked,started,high,Aidan,pcb,Cycle 4 - Fabrication,Electrical,XL,,2026-11-07,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-9,
EV27-10,EV27,"[ELEC] Order HV fuse, contactors, IMD",See requirements doc. Blocked by EV27-7.,Ready,unstarted,high,Megan,procurement,Cycle 3 - Procurement,Electrical,S,,2026-10-01,2026-08-01,https://plane.lokislair.com/2026-formula-electric/projects/ev27/issues/EV27-10,
